Region	Catchment	Transect	Transectcode	UTM_X	UTM_Y	Land-useclass	Forest_type	Productiontype	LU_FT_Code	Buffersize(pixels)	reg_age	reg_fire	reg_fire_age	NumberLogC	NumberBurnC	deg_full	def_age	total_arable	EDGE2_DIST_MEAN	ed1_1km	foresttype1_1km	UPF_foresttype1_1km	MF_FCCP_500mbuffer	CANOPY	DUFF	SPECIES	AGB_Trees10	AGB_DeadTREES10	AGB_CWD	AGB_FWD	AGB_LeafLitter	UND_DEN	WOOD_DEN	DAMAGED	pH_ALL	SILT_ALL	CLAY_ALL	C_0_30	C_N	PC1soilnutALL	PC2soilnutALL	PC1soilnutFOR	PC2soilnutFOR	PC1soilnutPF	PC2soilnutPF	PC1soilnutOPEN	PC2soilnutOPEN	ELEV_MEAN	SLOPE_MEAN
STM	160	12	160_12	742329	9690829	Mechanisd_agriculture	NA	NA	MA	76	NA	NA	NA	NA	NA	NA	6.318181818	5	697.236	11.2264	9.970089731	24.75	-0.212633059	100	0	0	0	0	0	0	2.60016	0	0	0	4.98	225.9285714	657.1428571	55.632	12.83907437	-4.582927122	-1.127041161	NA	NA	NA	NA	2.494360035	-0.991125412	103	7.83555
STM	160	5	160_5	740111	9692336	Secondary_forest	Old	NA	SFold	76	>20	0	0	NA	NA	NA	>20	NA	380.473	20.4058	46.370666	24.63690156	-0.128503463	12.062	0.906	81	92.52017963	0.906017446	13.2548499	1.056144364	7.34096	2160	0.417631823	10	4.353333333	192.1333333	653.3333333	54.06	11.25967029	0.343430985	0.783404443	-1.381853289	-0.841534487	NA	NA	NA	NA	125.93	4.743
STM	160	8	160_8	740196	9691139	Secondary_forest	Old	NA	SFold	76	>20	0	0	NA	NA	NA	>20	NA	71.4317	21.6052	48.32381425	53.28879753	-0.048880352	6.234	1.936	71	166.7135447	1.925687692	6.969674428	1.024348528	7.76624	1480	0.476924621	7	4.066666667	112.7333333	721.3333333	54.314	12.05132835	-0.15897809	-0.522839753	0.562053762	-1.029981328	NA	NA	NA	NA	123.607	6.12149
STM	165	1	165_1	719111	9688900	Primary_forest	Logged_and_burnt	NA	PFlogbur	77	NA	NA	NA	1	1	1.315789474	NA	NA	253.928	20.3313	81.86580195	97.13589275	-0.019278514	11.2	10.828	75	106.9477194	0.190143595	21.40641667	0.898500823	6.91208	2780	0.509114407	11	4.14	39.13333333	56	34.66	15.02812549	0.997725864	0.127521269	-0.33926544	1.184221956	-1.059202131	1.298035928	NA	NA	60.9728	8.74916
STM	165	2	165_2	721237	9685445	Primary_forest	Burnt	NA	PFbur	76	NA	NA	NA	0	1	2.631578947	NA	NA	1778.48	0	99.69902182	99.94968553	0	7.194	1.116	93	228.8793866	0.360578548	20.38498115	1.791251719	11.29504	2200	0.680210376	13	3.766666667	63.07142857	292.8571429	38.796	12.688277	1.14734805	-0.580295812	0.300763345	1.030098909	-0.111835115	0.954900523	NA	NA	78.8408	11.3785
STM	165	3	165_3	720873	9686438	Primary_forest	Burnt	NA	PFbur	75	NA	NA	NA	0	1	0	NA	NA	865.922	1.36788	99.19191919	99.79633401	0	6.934	0.98	119	169.3037272	4.100631716	22.45435598	1.768306226	8.65712	3580	0.703911758	18	3.986666667	52.72727273	134.5454545	29.928	14.82275452	1.304827207	0.029450744	-0.435029742	1.485603709	-1.194525166	1.46849046	NA	NA	48.9993	4.23619
STM	165	4	165_4	720779	9689088	Primary_forest	Logged_and_burnt	NA	PFlogbur	80	NA	NA	NA	1	1	0	NA	NA	410.327	8.41343	95.11044924	99.39979123	0.009300408	5.578	8.468	102	398.5960672	0.241865612	18.06241601	5.724433332	6.41264	2620	0.623358632	31	3.88	77.26666667	400	50.3	13.52404067	0.577952611	-1.312267058	1.48514316	0.471084793	1.264373117	0.651806101	NA	NA	125.295	19.0908
STM	165	5	165_5	721102	9688036	Primary_forest	Logged_and_burnt	NA	PFlogbur	79	NA	NA	NA	1	1	0	NA	NA	195.447	4.51521	97.36971485	99.01540015	0.020518946	4.58	8.804	99	514.8935116	1.651712927	16.3471851	2.070341521	6.10808	2800	0.661512664	12	4.02	193.8666667	769.3333333	104.9	15.11816687	1.349712485	-1.936182769	1.7230356	1.221838645	1.521611153	1.088009763	NA	NA	163.782	3.58646
STM	165	6	165_6	719122	9687188	Primary_forest	Burnt	NA	PFbur	76	NA	NA	NA	0	1	26.5625	NA	NA	188.753	9.66308	93.46633416	98.87940235	-0.017521319	8.142	2.334	89	224.9397405	0.621491424	20.96700416	1.282847474	8.71136	2640	0.704099688	13	4.04	28.90909091	61.81818182	31.522	15.36380465	1.012700922	0.322832382	-0.672086547	1.085202029	-1.423827568	1.112455565	NA	NA	36.5487	7.90095
STM	165	7	165_7	719954	9686492	Primary_forest	Logged_and_burnt	NA	PFlogbur	73	NA	NA	NA	1	1	0	NA	NA	304.595	2.61058	98.65303068	99.67130215	0.022227324	7.344	1.016	111	151.9693642	2.191473863	11.85756545	1.947325075	7.17864	3840	0.670728288	40	4.2	58.92857143	120	24.156	14.60709414	1.257603061	0.371283656	-0.849475397	1.181377079	-1.470665359	1.07800734	NA	NA	48.0721	7.71986
