"Region","Catchment","Transect","Transect_code","LU_FT_Code","foresttype1_1km","SILT_ALL","CLAY_ALL","ELEV_MEAN","SLOPE_MEAN"
"STM",81,8,"81_8","PA",11.00871731,205.9333333,485.3333333,83.3424,2.29947
"STM",81,9,"81_9","PFlogbur",36.70411985,137,618.6666667,88.0933,2.42157
"STM",99,10,"99_10","SFinter",33.28332083,166.5333333,784,144.765,1.35504
"STM",99,11,"99_11","SFyoung",24.30952973,75.2,258.6666667,97.4732,6.31145
"STM",99,2,"99_2","FRU",32.8528827,193.0666667,762.6666667,116.303,4.73041
"STM",99,3,"99_3","PA",29.64623817,214.6666667,701.3333333,123.566,6.50693
"STM",99,4,"99_4","SFinter",22.96555167,201.0666667,701.3333333,145.221,1.52935
"STM",99,5,"99_5","PA",11.76177423,126.8666667,432,73.3367,1.93927
"STM",99,6,"99_6","SFold",12.50310713,139.5333333,768,112.406,6.52225
"STM",99,7,"99_7","SFold",34.45878848,160.6,649.3333333,113.173,5.81306
"STM",99,8,"99_8","SFinter",30.35803083,179.4666667,748,107.627,4.48219
"STM",99,9,"99_9","PA",24.61461959,205.1333333,721.3333333,106.509,8.48505
"PGM",100,10,"100_10","SFyoung",39.39393939,97.33333333,253.3333333,31.4405,2.21612
"PGM",100,2,"100_2","SFyoung",45.88528678,254,436,53.6626,4.9366
"PGM",100,3,"100_3","PFlogbur",53.42465753,200.2666667,324,60.7134,4.45789
"PGM",100,5,"100_5","PFlog",79.02902903,312.6666667,242.6666667,45.8853,6.76043
"PGM",100,6,"100_6","PFlogbur",60.74257426,122.7333333,238.6666667,69.6247,1.22196
"PGM",100,8,"100_8","PA",74.32264479,174.5333333,228,70.0859,0.373115
"PGM",100,9,"100_9","PFlogbur",57.01863354,210.6666667,194.6666667,62.8819,4.38745
"PGM",142,1,"142_1","PFlog",83.74470207,232.8,728,141.826,2.06856
"PGM",142,11,"142_11","PA",27.99102692,257.2666667,693.3333333,105.778,3.67571
