"","Region","Catchment","Transect","Transect_code","LU_UF","ant_rich","bird_rich","db_rich","liana_rich","sap_rich","tree_rich","foresttype1_1km","SILT_ALL","CLAY_ALL","ELEV_MEAN","SLOPE_MEAN","bee_rich"
"216","PGM",245,11,"245_11","LBF",31,46,15,9,52,59,75.17641129,218.3333333,542.2222222,178.428,22.1861,15
"217","PGM",245,12,"245_12","PA",14,44,7,0,2,0,8.354114713,207.8888889,100,70.1156,0.466717,6
"218","PGM",245,13,"245_13","PA",14,31,4,0,0,0,19.81037924,168.3333333,157.7777778,93.6547,2.73466,3
"219","PGM",245,14,"245_14","PA",20,31,6,0,3,1,13.95058647,149.8888889,162.2222222,88.8918,0.965001,3
"220","PGM",245,2,"245_2","LF",29,22,20,13,78,53,98.1394195,149.1111111,133.3333333,99.9992,0.028831,4
"221","PGM",245,4,"245_4","LF",32,49,16,14,46,58,98.32416208,212.7,180,85.6286,3.19691,4
"222","PGM",245,5,"245_5","LF",16,58,12,11,51,64,90.72864322,280.7777778,151.1111111,99.544,0.60186,12
"223","PGM",245,6,"245_6","LF",22,53,4,13,74,71,71.19700748,390.6666667,564.4444444,208.866,3.33213,6
"224","PGM",245,7,"245_7","SFyoung",46,33,8,9,39,35,53.975,271.5555556,117.7777778,85.7774,2.96027,9
"225","PGM",245,9,"245_9","LF",46,69,19,20,59,61,60.65737052,169.1111111,93.33333333,90.9242,1.49484,6
"226","PGM",269,1,"269_1","LBF",28,45,3,16,58,54,82.3968175,284.1111111,677.7777778,147.446,3.3442,5
"227","PGM",269,10,"269_10","LF",28,42,10,14,57,64,84.68042775,188.6666667,762.2222222,159.322,1.42748,8
"228","PGM",269,11,"269_11","LF",25,48,14,16,75,49,98.73699851,208.7777778,748.8888889,159.614,7.91498,7
"229","PGM",269,12,"269_12","PA",9,16,1,0,0,0,18.27209533,79.77777778,251.1111111,78.1425,4.29687,3
"230","PGM",269,13,"269_13","PA",15,22,2,1,3,1,25.61368708,265.2222222,700,150,0,2
"231","PGM",269,14,"269_14","PA",17,17,3,0,0,0,28.35487078,120.3333333,213.3333333,62.1071,1.86142,3
"232","PGM",269,15,"269_15","PA",25,37,1,0,1,0,27.93240557,110.5555556,233.3333333,64.8376,2.71103,1
"233","PGM",269,2,"269_2","LBF",26,40,3,17,41,43,72.98778968,309,617.7777778,149.994,0.108117,7
"234","PGM",269,4,"269_4","LF",23,51,11,22,68,59,96.23669225,286.1111111,680,159.967,0.335589,6
"235","PGM",269,6,"269_6","LBF",33,44,9,10,49,34,66.2027833,264.6666667,688.8888889,142.952,3.63853,7
"236","PGM",269,7,"269_7","LF",32,64,7,7,57,49,96.83291771,217.5555556,537.7777778,125.116,10.8808,6
"237","PGM",269,8,"269_8","LBF",35,75,10,7,70,57,97.7766675,211.8888889,428.8888889,107.685,3.1532,12
"238","PGM",274,1,"274_1","LBF",38,39,15,13,70,56,62.60956674,262.5555556,566.6666667,156.665,8.45525,5
"239","PGM",274,10,"274_10","PA",23,14,5,0,0,0,41.40761005,225.7777778,740,171.146,1.71783,1
"240","PGM",274,11,"274_11","MA",12,9,3,0,0,0,28.95522388,312.4444444,653.3333333,180,0.0082273,2
"241","PGM",274,12,"274_12","MA",22,11,8,0,0,0,8.918784255,207.5555556,771.1111111,189.946,0.37045,1
